Unnamed: 0,player_name,team_abbreviation,age,player_height,player_weight,college,country,draft_year,draft_round,draft_number,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,season,Position
2514,joel przybilla,MIL,22,215.9,115.66596,Minnesota,USA,2000,1,9,71,2.7,4.0,0.3,-2.4,0.082,0.192,0.093,0.523,0.026,Feb-01,
2515,joe smith,MIN,26,208.28,102.0582,Maryland,USA,1995,1,1,72,10.7,6.3,1.1,9.3,0.097,0.174,0.178,0.571,0.063,Feb-01,
2517,joe crispin,PHX,22,182.88,83.91452,Penn State,USA,Undrafted,Undrafted,Undrafted,21,3.8,0.5,1.2,-5.3,0.014,0.068,0.239,0.536,0.277,Feb-01,
2518,jim jackson,MIA,31,198.12,99.79024,Ohio State,USA,1992,1,4,55,10.7,5.3,2.5,0.0,0.036,0.151,0.178,0.511,0.134,Feb-01,
2519,jeryl sasser,ORL,23,198.12,90.7184,Southern Methodist,USA,2001,1,22,7,1.4,1.0,0.3,-26.5,0.1,0.133,0.232,0.309,0.087,Feb-01,
2520,jerry stackhouse,DET,27,198.12,98.883056,North Carolina,USA,1995,1,3,76,21.4,4.1,5.3,2.7,0.033,0.103,0.321,0.518,0.288,Feb-01,
2521,juwan howard,DEN,29,205.74,113.398,Michigan,USA,1994,1,5,81,14.6,7.6,2.1,-2.3,0.096,0.17,0.224,0.513,0.109,Feb-01,
2522,jerome williams,TOR,29,205.74,93.439952,Georgetown,USA,1996,1,26,68,7.6,5.7,1.1,2.9,0.113,0.164,0.152,0.542,0.074,Feb-01,
2523,nick van exel,DAL,30,185.42,88.45044,Cincinnati,USA,1993,2,37,72,18.4,3.5,6.6,-3.3,0.012,0.103,0.268,0.495,0.339,Feb-01,
2524,chris whitney,WAS,30,182.88,79.3786,Clemson,USA,1993,2,47,82,10.2,1.9,3.8,-2.2,0.006,0.079,0.172,0.568,0.229,Feb-01,
2525,carlos rogers,IND,31,210.82,105.233344,Tennessee State,USA,1994,1,11,22,2.7,1.7,0.1,-5.9,0.097,0.153,0.16,0.574,0.03,Feb-01,
2526,cedric henderson,GSW,27,200.66,102.0582,Memphis,USA,1997,2,44,12,3.0,0.3,0.3,12.9,0.013,0.032,0.242,0.528,0.1,Feb-01,
2527,charles oakley,CHI,38,205.74,111.13004,Virginia Union,USA,1985,1,9,57,3.8,6.0,2.0,-12.2,0.058,0.241,0.122,0.392,0.134,Feb-01,
2528,charles smith,SAS,26,193.04,87.996848,New Mexico,USA,1997,1,26,60,7.4,2.2,1.3,-0.2,0.034,0.098,0.206,0.483,0.121,Feb-01,
2529,charlie bell,DAL,23,190.5,90.7184,Michigan State,USA,Undrafted,Undrafted,Undrafted,7,1.1,0.7,0.3,-20.7,0.063,0.075,0.188,0.337,0.074,Feb-01,
2530,charlie ward,NYK,31,187.96,83.91452,Florida State,USA,1994,1,26,63,5.2,2.0,3.2,-0.9,0.017,0.119,0.18,0.496,0.339,Feb-01,
2531,carlos arroyo,DEN,22,187.96,91.625584,Florida International,Puerto Rico,Undrafted,Undrafted,Undrafted,37,3.0,1.1,1.9,-6.3,0.034,0.09,0.168,0.467,0.323,Feb-01,
2532,chauncey billups,MIN,25,190.5,91.625584,Colorado,USA,1997,1,3,82,12.5,2.8,5.5,3.6,0.017,0.094,0.207,0.555,0.296,Feb-01,
2534,chris childs,TOR,34,190.5,88.45044,Boise State,USA,Undrafted,Undrafted,Undrafted,69,4.1,2.2,5.1,-0.7,0.013,0.105,0.133,0.435,0.352,Feb-01,
2535,chris crawford,ATL,27,205.74,106.59412,Marquette,USA,1997,2,50,7,7.6,3.6,0.7,-12.4,0.07,0.144,0.212,0.514,0.071,Feb-01,
2536,chris dudley,POR,37,210.82,117.93392,Yale,USA,1987,4,75,43,1.1,1.9,0.3,2.5,0.096,0.196,0.098,0.424,0.058,Feb-01,
2537,chris gatling,MIA,34,208.28,99.79024,Old Dominion,USA,1991,1,16,54,6.4,3.8,0.5,-4.1,0.102,0.197,0.236,0.501,0.061,Feb-01,
2538,chris mihm,CLE,22,213.36,120.20188,Texas,USA,2000,1,7,74,7.7,5.3,0.3,-7.7,0.093,0.175,0.196,0.47,0.025,Feb-01,
2539,cherokee parks,SAS,29,210.82,108.86208,Duke,USA,1995,1,12,42,1.5,1.4,0.2,-11.2,0.109,0.183,0.188,0.364,0.07,Feb-01,
2540,chris mills,GSW,32,200.66,99.79024,Arizona,USA,1993,1,22,66,7.4,2.9,1.1,-6.7,0.044,0.134,0.185,0.516,0.099,Feb-01,
2541,calvin booth,SEA,26,210.82,104.779752,Penn State,USA,1999,2,35,15,6.2,3.6,1.1,-8.3,0.08,0.133,0.178,0.502,0.092,Feb-01,
2542,cal bowdler,ATL,25,208.28,114.758776,Old Dominion,USA,1999,1,17,52,3.1,2.1,0.2,-1.1,0.076,0.143,0.159,0.416,0.03,Feb-01,
