Unnamed: 0,player_name,team_abbreviation,age,player_height,player_weight,college,country,draft_year,draft_round,draft_number,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,season,season_year,total_points
3810,Jumaine Jones,LAL,26,203.2,98.883056,Georgia,USA,1999,1,27,76,7.6,5.2,0.9,-1.0,0.067,0.179,0.141,0.556,0.057,May-04,,577.6
3931,Devean George,LAL,27,203.2,108.86208,Augsburg,USA,1999,1,23,15,7.3,3.5,0.9,-12.9,0.045,0.169,0.179,0.488,0.078,May-04,,109.5
4000,Sasha Vujacic,LAL,22,200.66,88.45044,None,Slovenia,2004,1,27,82,3.9,1.9,1.7,3.1,0.026,0.104,0.123,0.479,0.152,Jun-05,,319.8
4013,Ronny Turiaf,LAL,23,208.28,112.944408,Gonzaga,France,2005,2,37,23,2.0,1.6,0.3,-0.9,0.079,0.203,0.142,0.537,0.078,Jun-05,,46.0
4026,Smush Parker,LAL,25,193.04,81.64656,Fordham,USA,Undrafted,Undrafted,Undrafted,82,11.5,3.3,3.7,3.0,0.016,0.099,0.163,0.548,0.165,Jun-05,,943.0
4034,Slava Medvedenko,LAL,27,208.28,113.398,None,Ukraine,Undrafted,Undrafted,Undrafted,2,1.0,0.0,0.5,88.5,0.0,0.0,0.122,0.5,0.125,Jun-05,,2.0
4037,Von Wafer,LAL,20,195.58,95.25432,Florida State,USA,2005,2,39,16,1.3,0.5,0.3,-11.6,0.062,0.045,0.268,0.241,0.114,Jun-05,,20.8
4095,Jim Jackson,LAL,35,198.12,99.79024,Ohio State,USA,1992,1,4,40,3.0,1.9,0.9,1.1,0.023,0.129,0.172,0.365,0.099,Jun-05,,120.0
4105,Luke Walton,LAL,26,203.2,105.233344,Arizona,USA,2003,2,32,69,5.0,3.6,2.3,3.3,0.077,0.143,0.152,0.477,0.189,Jun-05,,345.0
4138,Laron Profit,LAL,28,195.58,92.532768,Maryland,USA,1999,2,38,25,4.2,1.7,0.6,-2.8,0.033,0.148,0.199,0.55,0.104,Jun-05,,105.0
4140,Lamar Odom,LAL,26,208.28,104.32616,Rhode Island,USA,1999,1,4,80,14.8,9.2,5.5,3.6,0.067,0.2,0.18,0.558,0.22,Jun-05,,1184.0
4160,Kwame Brown,LAL,24,210.82,112.490816,None,USA,2001,1,1,72,7.4,6.6,1.0,2.9,0.109,0.171,0.138,0.545,0.056,Jun-05,,532.8000000000001
4163,Kobe Bryant,LAL,27,198.12,99.79024,None,USA,1996,1,13,80,35.4,5.3,4.5,4.7,0.026,0.127,0.384,0.559,0.228,Jun-05,,2832.0
4271,Brian Cook,LAL,25,205.74,117.026736,Illinois,USA,2003,1,24,81,7.9,3.4,0.9,3.5,0.068,0.148,0.183,0.578,0.079,Jun-05,,639.9
